AFGHANISTAN,629798552
ALBANIA,4100
ALGERIA,128798618
ANDORRA,82519
ANGOLA,7065684
ANTARCTICA,7000
ANTIGUA,61527
ARGENTINA,29643255
ARMENIA,487268
ARUBA,63602
AUSTRALIA,921883494
AUSTRIA,23759717
AZERBAIJAN,2525403
BAHAMAS,321391
BAHRAIN,7694558
BANGLADESH,37817719
BARBADOS,319964
BELGIUM,226597719
BELIZE,117224
BERMUDA,33909
BOLIVIA,25695411
BOSNIA HERZEGOVINA,39508
BOTSWANA,8431099
BRAZIL,188052737
BRITISH VIRGIN ISLANDS,5500
BRUNEI,703928
BULGARIA,44467905
BURKINA FASO,469200
BURUNDI,100000
CAMBODIA,73900
CAMEROON,51007358
CANADA,1682018872
CAYMAN ISLANDS,23783
CHAD,73600
CHILE,112163184
COLOMBIA,102268881
COSTA RICA,1662610
CROATIA,944594
CYPRUS,123146
CZECH REPUBLIC,21938546
DENMARK,239876449
DJIBOUTI,415113
DOMINICA,13298
DOMINICAN REPUBLIC,26161077
EAST TIMOR,241130
ECUADOR,7248986
EGYPT,65102102
EL SALVADOR,2256109
ESTONIA,2030208
ETHIOPIA,25223900
FINLAND,19907423
FRANCE,286853429
FRENCH GUIANA,3381281
FRENCH POLYNESIA,16689
GABON,9184
GEORGIA,25075969
GERMANY,1330388129
GHANA,1307270
GREECE,552790159
GREENLAND,349893
GRENADA,24837
GUAM,123394
GUATEMALA,1325455
GUYANA,147722
HAITI,1975079
HONDURAS,4458230
HONG KONG,3350834
HUNGARY,11887569
ICELAND,500251
INDIA,116474680
INDONESIA,166918869
IRAQ,1683907012
IRELAND,11136489
ISRAEL,801974180
ITALY,519812690
JAMAICA,10806045
JAPAN,3125507766
JORDAN,100840646
KAZAKHSTAN,861648
KENYA,72371191
KIRIBATI,422600
KUWAIT,764072585
KYRGYZSTAN,20042578
LATVIA,4413185
LEBANON,5850961
LIBERIA,878320
LIBYA,5329921
LIECHTENSTEIN,300
LITHUANIA,2548324
LUXEMBOURG,28233419
MACEDONIA,2148193
MALAYSIA,191341336
MALTA,163897
MARSHALL ISLANDS,241
MAURITIUS,5164
MEXICO,239904382
MONACO,152
MONGOLIA,2210
MOROCCO,74506359
NAMIBIA,329778
NEPAL,80000
NETHERLANDS,312613515
NETHERLANDS ANTILLES,4236195
NEW CALEDONIA,606409
NEW ZEALAND,65757498
NICARAGUA,661967
NIGERIA,54879076
NORWAY,383384235
OMAN,34841331
PAKISTAN,313819740
PANAMA,2940334
PAPUA NEW GUINEA,3007825
PARAGUAY,779134
PERU,80934250
PHILIPPINES,20829347
POLAND,134516323
PORTUGAL,105816333
QATAR,129124426
ROMANIA,35194488
RUSSIA,40698295
RWANDA,100
SAUDI ARABIA,257980837
SENEGAL,73900
SERBIA,106056
SIERRA LEONE,46600
SINGAPORE,319534580
SLOVAKIA,9276483
SLOVENIA,2998008
SOUTH AFRICA,197957562
SOUTH KOREA,1524411942
SPAIN,343970989
SRI LANKA,21183501
SAINT KITTS AND NEVIS,176050
SAINT LUCIA,129161
SAINT VINCENT,92802
SUDAN,6938
SURINAME,81921
SWEDEN,147533658
SWITZERLAND,79330388
TAIWAN,643835110
TAJIKISTAN,7096814
TANZANIA,37223
THAILAND,146419597
TRINIDAD AND TOBAGO,1557927
TUNISIA,58611473
TURKEY,727560643
TURKMENISTAN,100000
TURKS AND CAICOS ISLANDS,36847
UGANDA,28253150
UKRAINE,2661999
UNITED ARAB EMIRATES,199400534
UNITED KINGDOM,3183615815
UNITED NATIONS,10246
URUGUAY,4292271
UZBEKISTAN,79188
VARIOUS,61952367
VIETNAM,1913800
YEMEN,13492852
ZAMBIA,20928
