AFGHANISTAN,430462265
ALBANIA,2427051
ALGERIA,87540148
ANDORRA,111999
ANGOLA,1685490
ANGUILLA,10535
ANTARCTICA,17500
ANTIGUA,1027200
ARGENTINA,80781963
ARUBA,15103
AUSTRALIA,888477841
AUSTRIA,25828972
AZERBAIJAN,1939624
BAHAMAS,557509
BAHRAIN,93410470
BANGLADESH,8410150
BARBADOS,182203
BELGIUM,7603549061
BELIZE,571878
BERMUDA,114552830
BHUTAN,2185
BOLIVIA,8175121
BOSNIA HERZEGOVINA,32675
BOTSWANA,33669850
BRAZIL,101050459
BRITISH VIRGIN ISLANDS,13000
BRUNEI,59876262
BULGARIA,19777919
BURKINA FASO,56550
BURUNDI,22711
CAMBODIA,260000
CAMEROON,13138570
CANADA,1228109800
CAPE VERDE,383
CAYMAN ISLANDS,31529
CHAD,48800
CHILE,122643605
COLOMBIA,293506702
CONGO,7100
COSTA RICA,25418012
CROATIA,3300006
CYPRUS,18669
CZECH REPUBLIC,10707041
DENMARK,136169235
DJIBOUTI,6300
DOMINICA,13666
DOMINICAN REPUBLIC,11359129
EAST TIMOR,140400
ECUADOR,38429033
EGYPT,81771410
EL SALVADOR,2997575
EQUATORIAL GUINEA,1000
ESTONIA,6258019
ETHIOPIA,4907663
FINLAND,57066280
FRANCE,398532060
FRENCH GUIANA,147840
FRENCH POLYNESIA,14242
GABON,2916000
GEORGIA,82366713
GERMANY,1897790235
GHANA,1577629
GIBRALTAR,226240
GREECE,157964728
GREENLAND,26499354
GRENADA,20180
GUATEMALA,7711285
GUYANA,143887
HAITI,2095622
HONDURAS,9305745
HONG KONG,88700229
HUNGARY,13197632
ICELAND,5619339
INDIA,233362045
INDONESIA,98270668
IRAQ,1617426560
IRELAND,12973004
ISRAEL,1156981979
ITALY,816280593
JAMAICA,4827811
JAPAN,3290931528
JORDAN,143133307
KAZAKHSTAN,15593064
KENYA,17106436
KIRIBATI,11751
KUWAIT,668714033
KYRGYZSTAN,569
LAOS,200000
LATVIA,7189805
LEBANON,6621646
LIBERIA,1700501
LIBYA,46253664
LIECHTENSTEIN,6495
LITHUANIA,2697154
LUXEMBOURG,67224095
MACEDONIA,5333713
MALAYSIA,269520338
MALDIVES,150000
MALTA,124708
MAURITANIA,100000
MEXICO,779366251
MOROCCO,85973804
NAMIBIA,357834
NEPAL,154596
NETHERLANDS,314620373
NETHERLANDS ANTILLES,6578061
NEW CALEDONIA,697776
NEW ZEALAND,72045660
NICARAGUA,939817
NIGER,3024560
NIGERIA,9850996
NORWAY,195429159
OMAN,64465163
PAKISTAN,108262248
PANAMA,36931109
PAPUA NEW GUINEA,72925
PARAGUAY,723111
PERU,49905868
PHILIPPINES,110471646
POLAND,11451124
PORTUGAL,105119771
QATAR,73121489
ROMANIA,96961996
RUSSIA,11800732
RWANDA,48068
SAUDI ARABIA,1223810133
SENEGAL,100
SEYCHELLES,328225
SINGAPORE,247562520
SLOVAKIA,2553884
SLOVENIA,7651742
SOUTH AFRICA,199220302
SOUTH KOREA,1918084050
SPAIN,468669475
SRI LANKA,7316052
SAINT KITTS AND NEVIS,205656
SAINT LUCIA,430312
SAINT VINCENT,328369
SUDAN,513875
SURINAME,148796
SWAZILAND,968
SWEDEN,179542136
SWITZERLAND,122304156
TAIWAN,363776567
"TANZANIA, UNITED REPUBLIC OF",19786
THAILAND,226195548
TRINIDAD AND TOBAGO,4115088
TUNISIA,79340936
TURKEY,868431162
TURKS AND CAICOS ISLANDS,11220
UGANDA,1760507
UKRAINE,1839967
UNITED ARAB EMIRATES,555723575
UNITED KINGDOM,2404004777
UNITED NATIONS,6776
URUGUAY,7044962
UZBEKISTAN,18250
VANUATU,3000
VARIOUS,175816207
VIET NAM,88268566
SAMOA,895
YEMEN,19182977
ZAMBIA,129672
