AFGHANISTAN,24846885
ALGERIA,41000000
ANGOLA,100000
ARGENTINA,68283651
ARMENIA,100000
AUSTRALIA,1277833700
AUSTRIA,38095000
AZERBAIJAN,7200156
BAHAMAS,489200
BAHRAIN,47762550
BANGLADESH,3000000
BARBADOS,375000
BELGIUM,68741997
BOTSWANA,5000000
BRAZIL,500804729
BRUNEI,19479462
BULGARIA,45649462
CANADA,4942963974
CAYMAN ISLANDS,15351600
CHILE,24974144
COLOMBIA,57281503
CONGO,6965272
COSTA RICA,19824788
CROATIA,119560
CYPRUS,500000
CZECH REPUBLIC,86698000
DENMARK,159808053
DJIBOUTI,574500
DOMINICAN REPUBLIC,171000
ECUADOR,15182000
EGYPT,48029378
FINLAND,644580008
FRANCE,931463619
GERMANY,2174723172
GREECE,195343715
GUATEMALA,6560000
HONG KONG,32203000
INDIA,677197902
INDONESIA,52250000
IRAQ,83561214
IRELAND,3305400
ISRAEL,1813722115
ITALY,1892294260
JAPAN,8809953915
JORDAN,40159150
KAZAKHSTAN,2670750
KENYA,100000
KUWAIT,101490902
LEBANON,504612
LIBYA,100000
LITHUANIA,42049462
LUXEMBOURG,46112671
MALAYSIA,94958205
MEXICO,3764719651
MONTENEGRO,25000
MOROCCO,39100000
NETHERLANDS,704826313
NEW ZEALAND,23544620
NIGER,4954690
NIGERIA,3000000
NORWAY,930108887
OMAN,36195000
PAKISTAN,36973309
PARAGUAY,4400000
PERU,59400410
PHILIPPINES,3396000
POLAND,1080899791
PORTUGAL,509634462
QATAR,5045589
ROMANIA,182520962
RUSSIA,1845567028
SAUDI ARABIA,1811831934
SINGAPORE,1830241053
SLOVAKIA,880000
SLOVENIA,10210592
SOUTH AFRICA,592347490
SOUTH KOREA,1801221763
SPAIN,435671679
SRI LANKA,11800000
SWEDEN,379577522
SWITZERLAND,162317000
TAIWAN,1599317413
"TANZANIA, UNITED REPUBLIC OF",1050000
THAILAND,92151485
TRINIDAD AND TOBAGO,5000
TUNISIA,17600000
TURKEY,1317489712
UGANDA,126325
UKRAINE,5300000
UNITED ARAB EMIRATES,657903213
UNITED KINGDOM,7951717845
URUGUAY,11410640
VARIOUS,19367541052
VIETNAM,71261033636
